GSM807842	GSM807843	GSM807844	GSM807845	GSM807846	GSM807847	GSM807848	GSM807849	GSM807850	GSM807851	GSM807852	GSM807853	GSM807854	GSM807855	GSM807856	GSM807857	GSM807858	GSM807859	GSM807860	GSM807861	GSM807862	GSM807863	GSM807864	GSM807865	GSM807866	GSM807867	GSM807868	GSM807869	GSM807870	GSM807871	GSM807872	GSM807873	GSM807874	GSM807875	GSM807876	GSM807877	GSM807878	GSM807879	GSM807880	GSM807881	GSM807882	GSM807883	GSM807884	GSM807885	GSM807886	GSM807887	GSM807888	GSM807889	GSM807890	GSM807891	GSM807892	GSM807893	GSM807894	GSM807895	GSM807896	GSM807897	GSM807898	GSM807899	GSM807900	GSM807901	GSM807902	GSM807903	GSM807904	GSM807905	GSM807906	GSM807907	GSM807908	GSM807909	GSM807910	GSM807911	GSM807912	GSM807913	GSM807914	GSM807915	GSM807916	GSM807917	GSM807918	GSM807919	GSM807920	GSM807921	GSM807922	GSM807923	GSM807924	GSM807925	GSM807926	GSM807927	GSM807928	GSM807929	GSM807930	GSM807931	GSM807932	GSM807933	GSM807934
10007	8.578923255	9.439415108	9.182557053	8.883055453	9.291086006	9.072803812	8.436727862	8.850181145	8.539461851	9.161302544	9.041840499	8.707472149	8.83857556	9.4957663	8.805036322	9.186670653	9.222186902	8.78841862	8.943201953	8.504749713	8.225149012	8.406549896	8.818346822	8.936917151	8.559936899	8.678894779	8.821752209	7.719084732	8.589009006	8.575630438	8.910313589	8.719266097	9.068624725	8.900727657	8.480084752	9.274234543	9.323243355	9.1829652	8.959054618	9.342218664	7.819499353	8.597762019	8.895808159	8.378946286	8.602848999	8.449728009	8.299840028	8.757175882	9.173399574	9.049231049	8.800657973	9.791238786	9.039946902	8.885555519	8.641040222	8.879249382	8.836338676	8.875026749	9.130095225	9.198499165	8.678305836	9.372988629	9.011133918	10.11125155	9.061167782	9.536814679	8.607673472	8.681131478	9.181016355	9.902634434	8.974926595	8.682109457	8.738249184	8.988307692	9.048353325	8.796820996	8.872499239	8.731660723	8.951526196	9.243524929	8.757388706	8.06415241	8.375353886	9.229612313	9.253527709	8.597551351	9.415288599	8.695373781	9.158530112	8.73393601	8.914488003	8.425875939	8.742392268
10009	3.364411141	3.476306144	3.458349808	3.424115358	3.283725746	3.396081864	3.296714388	3.448897731	3.437652367	3.508404059	3.493357806	3.547264042	3.461017681	3.384695728	3.444457292	3.510568389	3.470591849	3.503610719	3.407815868	3.4047396	3.465718966	3.551454146	3.341030916	3.50669329	3.50786101	3.449415579	3.537088846	3.616729269	3.51922375	3.51791123	3.618141002	3.588374634	3.572444013	3.568469169	3.662390723	3.504175204	3.550363549	3.435269433	3.473814494	3.573708196	3.55724305	3.546713878	3.595468297	3.449296028	3.605972874	3.691446099	3.866512036	3.873955381	4.074490849	4.001625342	3.953765317	4.001584101	3.884281867	4.010048124	3.905986335	3.865634873	4.007332815	3.990240938	4.021224083	4.074089288	3.897047152	4.036342656	4.073273484	3.873024181	3.83045725	4.052495673	3.954227697	3.897749357	3.97714764	4.148686893	4.070700934	3.94640539	4.043085572	3.908878646	3.9939747	3.933638996	3.968302939	4.097416338	3.886132179	4.012959047	3.955251481	3.973737738	3.85945968	3.983939025	3.960496002	4.067101492	3.949072838	4.049670443	4.103324549	4.019438533	4.122698195	4.024751736	4.064705595
1001	6.135128295	5.359758139	5.366447196	5.452846021	6.092481648	5.460811581	6.322652305	6.002036361	5.940946063	5.861137316	5.911572363	6.552047766	6.123167317	5.430014771	6.257496268	5.558459861	5.651802136	6.118580232	5.439008798	6.173642309	6.000555569	6.336428035	5.540921221	6.020413499	5.7731104	5.992001532	6.029915249	6.18705716	6.141131026	5.796927666	5.467380077	6.775550096	5.422465638	5.374578821	5.576712924	5.338668304	5.544818074	5.603048552	5.425929163	5.664922154	5.409839694	5.610603762	5.364467877	5.594627476	5.915688948	5.691876601	5.740404226	6.058307289	6.180773346	6.272075149	6.149758804	5.915340811	6.357104689	7.624150179	5.97930285	6.077102997	6.230059803	6.628370088	6.028278828	6.055990364	7.279597068	6.625225009	6.377308251	6.162978632	7.670838986	6.721427417	6.71063491	5.982799085	6.08612475	6.525667736	6.071732792	6.106732347	6.163331933	6.258447619	6.00779258	6.564978394	6.153729255	5.900970824	6.190573979	6.936396062	6.206923861	6.381987823	6.319277813	6.36570954	6.513117409	6.395386055	6.150062961	6.309802536	6.062757433	6.090927603	6.225795177	6.218365478	6.274099907
10010	5.744885264	5.673742254	5.448884121	5.725856772	5.817890366	5.69096812	6.252863523	5.608634099	5.865268674	5.783776552	5.709999896	5.670815243	5.541948357	5.767900159	5.885086826	5.469336515	5.713600092	5.971715233	5.811769804	5.885189826	5.827684916	5.865824367	5.858635494	5.531776085	5.696419093	5.95768523	5.637622103	5.640614121	5.744666157	5.677983004	5.679102005	5.7846793	5.496798004	5.51156019	5.445688074	5.742521656	5.584603517	5.449825055	5.721575337	5.566540106	5.599445342	5.67632617	5.438562636	5.465535716	5.353954854	5.375860239	5.22248128	6.111414027	6.262018116	6.549660438	6.072743967	7.330381826	6.15642976	6.351440475	6.343852326	5.961968237	5.999955138	6.144830609	6.023378997	5.989273573	6.142782161	6.043226944	5.913521522	6.78312264	6.408280939	6.534237557	6.244133508	6.115395954	6.473358665	6.219691739	6.200294733	5.886004939	6.115897871	6.559613328	6.048142829	6.256032114	6.251999519	6.110828057	6.044910939	5.901753468	5.978949434	5.903017579	5.845780504	5.981458483	6.000748339	5.891720004	6.004361785	5.9863231	6.035858592	6.079679644	6.15863963	5.928765407	5.912327474
10013	7.725708067	8.136894388	8.233228344	8.163737874	7.888885529	8.130452082	6.98336379	7.98094489	7.468760245	8.164592759	7.554939547	7.763339599	7.891383416	7.866476975	7.66670555	8.31090438	8.101365446	7.529655128	7.926206046	7.12342299	7.363629557	7.708553445	8.105784217	7.890538999	7.957587734	7.469246613	8.125826847	7.400018209	7.78784411	7.956443301	8.232907879	7.55706511	8.340765178	8.290848152	7.694246348	8.067353465	8.325826897	8.089676273	7.939889726	8.336190808	7.323271573	8.048125972	8.209272712	8.297756598	7.942361532	8.254836909	8.279005674	7.332720645	7.469420523	7.452954013	7.866370384	7.260544293	7.836817402	7.431354235	7.55883925	7.540655286	7.965928099	7.553678653	7.98552638	7.630523886	7.920973902	7.827765127	8.050059846	7.529588384	7.475750315	7.981355229	7.706981801	7.621977283	7.549719715	8.657942945	7.51662803	7.676750903	7.233123576	7.503399877	7.974231533	7.716513952	7.579569836	7.736755543	7.55717104	8.346500032	8.034087915	7.858956991	7.930584549	8.089515049	8.06422159	7.763022069	8.186265708	8.079789638	8.126023256	8.005929362	7.805112692	8.070507254	7.99179756
10014	6.027779667	5.94972107	5.856877057	6.199039882	6.024086234	5.949627585	5.664938493	5.711124676	5.852037577	6.055316591	5.781973722	5.766371664	5.883366505	6.003967449	5.786965521	6.242034178	5.851528687	5.782271749	5.620627209	5.853066911	5.6328458	5.543262336	5.992494155	5.722933348	5.6858471	5.509544807	6.024676529	5.674890153	6.148598828	5.845239723	6.082611468	5.617311058	5.878344199	5.74258964	5.932908258	5.926490651	6.080003867	5.970418113	5.77787478	5.980563212	5.875795149	5.8202582	5.821460675	6.040104331	6.274227015	5.732998567	5.902841594	7.854651659	7.173390899	6.182868916	7.380418827	6.030553649	7.902081748	7.062130988	7.79871233	7.836325929	7.74287407	7.510760443	7.660733693	7.769633489	7.698707364	7.354103956	8.166904098	5.517420139	6.310099319	6.518044143	7.396230489	7.586432028	6.231046992	6.473089968	7.278077734	7.657543671	7.605316689	7.537303242	7.304147417	6.835794276	7.245903417	7.781987286	7.405435603	8.002518876	7.84992727	7.106830221	7.722127887	7.811303801	7.221719161	7.271857521	7.272399405	6.747401982	6.613762212	6.549550821	6.727421801	7.129689937	6.797465781
10015	8.811249334	8.824512744	8.745165399	8.205067894	8.599082181	8.919946012	8.882839655	8.622982565	8.6426799	8.844063892	8.533248671	8.705143095	8.674190273	8.860765184	8.92407433	8.641053817	8.922426497	8.800242803	8.995611314	8.705801551	8.899238725	8.91502877	8.683208793	8.769352257	8.557079427	8.677149221	8.401575247	8.758265298	8.700851444	8.655599077	8.988899691	8.990643007	8.843526318	8.765018742	8.758107492	9.081794864	8.825824112	8.707304727	8.959910288	8.725300916	9.408965211	8.96446163	8.890986505	8.721022833	8.313675661	8.299424635	8.496086037	9.816210304	9.781167957	9.763753528	9.598876235	9.560965312	9.540266644	9.505967973	9.598878968	9.750471199	9.466879417	9.310953254	9.480879348	9.463158466	9.418071392	9.59384692	9.049520896	9.51813178	10.01214824	9.854075264	9.480489911	9.533619639	9.741058619	9.533941381	9.636507873	9.455049325	9.7887431	9.887504775	9.923030692	9.646165628	9.41481995	10.09121188	9.906421273	9.627446602	9.384421113	9.958207635	9.193918609	9.486247673	9.761390813	9.575915727	9.771647568	10.12800694	9.752515468	9.52685555	9.997702444	9.554556049	9.832724987
10016	8.681785507	8.375095508	8.686516381	8.622642507	8.668700593	8.534985222	8.800947499	8.357326703	8.744075136	8.48090147	8.817868342	8.709042	8.391795388	8.800645622	8.73807751	8.626884792	8.56238723	8.425031719	8.637621382	8.680609088	8.650191705	8.63750129	8.524169768	8.381663239	8.152751203	8.588652813	8.495054007	8.663396911	8.383334364	8.450282969	8.472441342	8.705585017	8.434044754	8.602920255	8.191980023	8.576912041	8.570837789	8.392344632	8.476153772	8.300016496	8.395159598	8.28811089	8.251419945	8.326195767	8.304114511	8.094296681	8.073317754	9.902031526	9.712319896	10.53672155	9.986977046	10.17817304	10.14317158	9.50008437	9.68855721	9.899947609	9.629419803	9.96584567	10.15073396	10.17515883	10.10934593	9.98841721	9.734110931	10.06833959	10.35941849	10.21954215	10.15709822	9.803158334	10.16788592	9.506205042	9.75471554	9.826418596	9.500463218	9.9795812	9.947322366	9.852744955	9.978739065	10.23489392	9.959976319	9.897093782	10.05480283	10.20095225	10.38052864	9.989903183	10.2590633	10.27866609	10.08882922	10.4010229	9.880019202	10.07695913	9.973552782	10.13285988	10.33823674
10017	4.197204182	4.396768009	4.502085311	4.341745373	4.277579991	4.411523717	4.256105655	4.351505832	4.35591278	4.349608384	4.470018317	4.191257551	4.448534106	4.329894704	4.260013577	4.552483174	4.410063261	4.289445059	4.188185939	4.087247668	4.205890701	4.270425939	4.294919875	4.367703099	4.560698294	4.20386206	4.691081967	4.302798426	4.388119218	4.113085014	4.278631955	4.099481075	4.273603471	4.425010977	4.533016749	4.396423312	4.401949612	4.574971111	4.301988588	4.354151557	4.434106271	4.228714672	4.380646754	4.404063095	5.013893422	4.875061059	4.967113431	4.598318186	4.718744472	4.789180048	4.936130125	4.80528336	4.843169185	4.609670052	4.884033999	4.96230281	4.864044942	4.695102196	4.987260663	4.864044942	4.819499506	5.067583395	5.039638338	4.974405498	4.963174578	4.872469515	4.802926025	4.84672078	4.91717666	5.00165433	4.808935781	4.689280021	4.705885604	4.728369617	4.914481203	4.812190454	4.648305279	4.899609653	4.758215374	4.948485651	4.922202857	4.931697827	5.299567876	5.089717174	4.82355952	4.846683692	4.804932556	4.916403201	4.90162038	4.730455027	5.075488506	5.148966762	5.140347881
10018	3.829782585	3.746805424	3.982722195	3.872143346	3.878710011	3.792535704	3.850813661	3.712542483	3.922285102	3.791502605	3.735148872	3.784003038	3.795119778	3.808892363	3.754474452	4.063924822	3.874882416	3.836549931	3.791266146	3.796871082	3.819099584	3.804098489	3.728185491	3.868197715	3.805495393	3.740516499	3.887434703	4.027666087	3.733261425	3.780256603	3.880956002	3.815447751	3.932314406	4.029841141	3.885496616	3.79503092	3.92483818	3.815006527	3.732233079	3.847911108	3.82117328	3.908531531	3.87577994	3.825753345	3.847716944	4.128191402	3.859784721	4.14857412	4.11460484	4.1989326	4.20559286	4.239966802	4.211702016	4.266714435	4.086094264	4.152463141	4.158710802	4.314696195	4.172504582	4.347893509	4.166342997	4.015020191	4.277494267	4.259791552	4.170065142	4.177252625	4.186268889	4.15829168	4.174519995	4.362172244	4.030547242	4.043548717	4.195587738	4.242777105	4.113617285	4.260643097	4.028879241	4.222260961	4.239457844	4.180653897	4.205261111	4.227670152	4.198447301	4.272679408	4.309040446	4.212108817	4.003221005	4.240960203	4.13050056	4.193003522	4.135236648	4.232887834	4.164270095
