feature_id	logFC	AveExpr	t	P.Value	adj.P.Val	B	Gene Symbol
51650	0.193388660709822	8.55332279880435	1.8197827808322	0.0752726342017874	0.144536916375974	-5.14542290612805	MRPS33
51651	0.425135363267858	8.44434747152174	5.18346131442927	4.68727845188352e-06	8.38967041953199e-05	3.88121040714572	PTRH2
51652	0.0626106353571423	10.6740126067391	0.794038573595928	0.431231385619534	0.544744584454458	-6.4411589719585	VPS24
51654	0.161077388888393	8.5008843973913	2.09092989057969	0.0420605040281796	0.0931168309315192	-4.65248642444765	CDK5RAP1
51657	-0.139271880821428	8.39168433641304	-0.670412483612037	0.505931366648898	0.615427030547426	-6.53134619480531	STYXL1
51659	0.278535345745536	5.91937376806522	2.7119905990186	0.00936091513897237	0.0299052024678777	-3.32010840032677	GINS2
5166	-1.54492755825446	6.87104015884783	-6.05460091312088	2.35937832262074e-07	7.88294512902285e-06	6.78328431565452	PDK4
51660	-0.110727353321429	10.0159706770217	-1.10389200505613	0.275354607143676	0.386957029410462	-6.15062529452702	BRP44L
51663	-0.0732766768392858	6.38492137817391	-1.34682213658428	0.184605216461475	0.285769825430968	-5.86019443688496	ZFR
51665	-0.463496040165178	5.73139552613043	-8.21096750322898	1.39882938228746e-10	2.21383155396758e-08	14.030514224822	ASB1
51666	-0.107974422678572	4.67200097706522	-3.24022368028652	0.00221653456224004	0.0100638040940358	-1.9948933209587	ASB4
51668	0.0256817489464288	7.32385334391304	0.38769248658121	0.700023516966774	0.779690977134582	-6.68114628414341	HSPB11
51669	0.176911848437501	12.1698935819565	2.10648659201443	0.0406210886842788	0.0907772723370534	-4.62247495091054	TMEM66
5167	-0.0371495085357147	6.27389087291304	-0.350847787899117	0.727296844141819	0.801238912011156	-6.69482108511491	ENPP1
51673	-0.683658757901786	11.8461287095652	-4.45386442917697	5.313577852299e-05	0.000563595365145082	1.54039331083005	TPPP3
51678	-0.0700449904285713	4.61939424306522	-1.20407848755675	0.234690009864376	0.344082330405742	-6.03738901058695	MPP6
5168	-0.342591646111607	9.25475423776087	-1.17433798905039	0.24627546505289	0.35640807125635	-6.07197014941146	ENPP2
51686	-0.122595881580357	5.2917030596087	-2.09590018803161	0.0415958450862276	0.0924283806940966	-4.64291781009717	OAZ3
51690	0.0389622947678572	6.93867166341304	0.132139748412566	0.895447382814838	0.927927487515283	-6.74798338109748	LSM7
51691	0.315931666901786	5.78727629967391	3.48126463739457	0.00110117779042514	0.00585025020460848	-1.34088284950782	LSM8
51693	-0.40031848465625	7.4541366978913	-2.03985059974221	0.0471045465365034	0.101749792617025	-4.74973188430724	TRAPPC2L
51696	0.325050546183036	8.79724350186956	3.61967361683013	0.000729162383698617	0.00424304071172084	-0.953079497844402	HECA
